"Title","UseCaseId","EventId","AgencyId","TeamId","BusinessProblem","CurrentProcess","ChallengeSummary","ProposedSolution","Components","CopilotRole","Services","Status","BusinessValue","EstimatedImpact","ImpactMetric","Beneficiaries","Risks","DataDependencies","Compliance","Feasibility","Reusability","Industries","PatternId","AssignedCSAs","SupportTeams","ExecSponsorId","NextStep","FollowupOwnerId","ChampionApps","ChampionDataAI","DemoUrl","RepoUrl","Lessons","ScoreBusinessValue","ScoreUrgency","ScoreSponsorship","ScoreFeasibility","ScoreDataReadiness","ScoreCompliance","ScorePlayFit","ScoreRepeatability","ScoreEaseNextStep","ScoreOwnerChampion","RecordStatus"
"AI permit-status assistant for residents","UC-2026-MET-007","EV-2026-03-MET","AG-MET-DOB","T-MET-3","Residents and 311 agents cannot see where a building permit is stuck, generating thousands of status calls per month.","Manual lookups across two systems; 6–8 minutes per call with frequent escalations.","Give residents and agents self-service permit status without adding staff.","RAG assistant grounded on the permit system plus a status API, surfaced in a resident web chat and an agent-assist panel.","AI;Web App;API;Data pipeline","Heavy","Azure OpenAI;Azure AI Search;Azure Functions;Power Apps","Demo-ready","Deflects routine status calls, gives residents faster answers, and frees reviewers for complex cases.","High","~12k status calls/yr deflected","Residents, 311 agents, permit reviewers","Status API access approval; PII handling in chat transcripts.","Permit DB read access; address normalization service.","PII review needed for transcripts; no CJIS data involved.","High","High","Buildings;Permitting;311 / Citizen services","PAT-RAG-LOB","P-PRIYA","CSA;STU","P-DANIEL","Scope a 2-week pilot with DOB IT.","P-PRIYA","P-MARCUS","P-PRIYA","#","#","A thin status API plus RAG beat a full system rebuild; agents valued the assist panel more than the public chat.","3","2","3","3","2","2","2","3","1","1","Published"
"Benefits eligibility pre-screener","UC-2026-MET-004","EV-2026-03-MET","AG-MET-HRA","T-MET-1","Applicants spend hours on applications they are ineligible for, and caseworkers spend time rejecting incomplete submissions.","Paper/PDF intake; eligibility determined late by a caseworker after submission.","Help applicants self-assess eligibility before applying.","Conversational pre-screener that asks plain-language questions and explains likely eligibility with required documents, human-in-the-loop for edge cases.","AI;Web App;Data pipeline","Moderate","Azure OpenAI;Power Apps;Azure Functions","Production candidate","Reduces ineligible applications and caseworker rework; improves applicant experience and trust.","High","Est. 20% fewer ineligible applications","Benefits applicants, caseworkers","Must avoid giving authoritative determinations; clear disclaimers required.","Eligibility rules; program catalog.","Sensitive program data; equity and accessibility review required.","Medium","High","Health & Human Services;Benefits & eligibility","PAT-RAG-LOB","P-MARCUS","CSA;ATU","P-DANIEL","Align with HRA modernization roadmap via account team.","P-NADIA","P-MARCUS","P-DANIEL","#","#","Framing as 'pre-screen, not decision' was essential for agency comfort.","3","3","3","2","2","2","3","3","2","2","Published"
"311 multilingual citizen assistant","UC-2026-MET-002","EV-2026-03-MET","AG-MET-311","T-MET-1","Non-English speakers struggle to navigate 311 services and wait on long calls for routine requests.","Phone agents with live interpreters; long hold times for common requests.","Provide reliable multilingual self-service for common 311 requests.","Multilingual assistant that handles common service requests and routes complex cases to agents with a translated summary.","AI;Web App","Moderate","Azure OpenAI;Azure AI Translator;Power Apps","Demo-ready","Improves equitable access and deflects routine multilingual calls.","Medium","Top 5 languages covered for common requests","Non-English-speaking residents, 311 agents","Translation quality for civic terminology; agent trust.","311 service catalog; routing rules.","Accessibility and language-access policy review.","High","High","311 / Citizen services","PAT-RAG-LOB","P-MARCUS","CSA;CSU",,"Validate multilingual quality with 311 supervisors.","P-MARCUS","P-DIEGO","","#","#","Civic-term glossary noticeably improved translation quality.","2","2","1","3","2","2","2","3","2","2","Published"
"Pothole image triage from 311 photos","UC-2026-MET-009","EV-2026-03-MET","AG-MET-DOT","T-MET-2","Pothole reports arrive with photos but are triaged manually, delaying severity-based dispatch.","Staff visually review photos and assign priority by hand.","Auto-classify pothole severity from citizen photos to speed dispatch.","Vision model that scores severity and clusters nearby reports to batch repairs.","AI;Data pipeline","Moderate","Azure AI Vision;Azure Functions","Prototype","Faster severity-based dispatch and batched repairs.","Medium","Potential faster response on high-severity reports","Residents, DOT dispatch and crews","Photo quality variance; liability of automated severity calls.","Labeled historical pothole images.","Low — public-domain imagery; no PII.","Medium","Medium","Transportation;Public works",,"P-LENA","CSA",,"Gather a labeled image set to validate accuracy.","P-LENA","","P-LENA","#","#","Clustering nearby reports may deliver more value than the severity score alone.","2","1","1","2","1","3","1","2","2","1","Published"
"Inspection report auto-draft","UC-2026-MET-013","EV-2026-03-MET","AG-MET-DOB","T-MET-3","Inspectors spend significant time writing up reports from field notes after each visit.","Handwritten/voice notes transcribed later into a formatted report.","Turn structured field notes into a compliant draft report.","Copilot-assisted drafting that converts checklist + voice notes into a formatted report for inspector review.","AI;App","Heavy","Azure OpenAI;Azure AI Speech;Power Apps","Demo-ready","Recovers inspector time and improves report consistency.","Medium","Est. 30–45 min saved per inspection","Inspectors, supervisors","Accuracy of auto-drafted findings; mandatory human sign-off.","Report templates; inspection checklists.","Reports are legal records — human approval mandatory.","High","High","Buildings;Inspections","PAT-FORMAUTO","P-PRIYA","CSA",,"Pilot with a small inspector cohort for accuracy and trust.","P-PRIYA","P-MARCUS","","#","#","Inspectors wanted to edit, not just accept — review UX matters more than raw generation.","2","2","1","3","2","1","2","3","2","1","Published"
"FOIL / records request triage","UC-2026-MET-015","EV-2026-03-MET","AG-MET-311","T-MET-1","Public records requests are routed and de-duplicated manually, creating backlogs.","Staff read each request, categorize, and route to the owning agency.","Auto-classify and route records requests with duplicate detection.","Classifier that tags request type, suggests the owning office, and flags likely duplicates.","AI","Light","Azure OpenAI","Idea only","Could reduce routing time and backlog if data access is granted.","Low","","Records officers, requesters","Sensitive request content; legal review of any automation.","Historical requests with outcomes (not yet available).","Records law constraints; legal sign-off required.","Low","Medium","Records management;Legal","PAT-DOCINTEL","P-MARCUS","CSA",,"Park until historical data access and legal guidance are available.",,"","","#","#","Compelling idea but blocked on data and legal — good incubation candidate later.","1","1","0","1","0","1","1","2","1","0","Published"
"Transit incident summarizer for the ops center","UC-2026-MET-011","EV-2026-03-MET","AG-MET-MTA","T-MET-4","During disruptions the ops center is flooded with feeds and must brief leadership quickly.","Operators manually compile updates from multiple feeds into a status brief.","Auto-summarize live incident feeds into a rolling brief.","Streaming summarizer that fuses incident feeds into a concise, continuously updated brief with severity flags.","AI;Data pipeline","Moderate","Azure OpenAI;Azure Functions","Needs follow-up","Faster, clearer leadership briefings during disruptions.","Medium","Faster situational briefs during incidents","Ops center staff, transit leadership","Real-time feed access; accuracy under high load.","Live incident and sensor feeds.","Operational data; access agreements needed.","Medium","High","Transit;Public safety","PAT-RAG-LOB","P-LENA","CSA;ATU",,"Identify a follow-up owner and validate incident data feed access.",,"","","#","#","Strong demo energy but no owner stepped up — at risk of stalling without intervention.","2","2","1","2","2","2","2","3","2","0","Published"
"Health inspection scheduling optimizer","UC-2026-ALB-005","EV-2026-01-ALB","AG-STA-DOH","T-ALB-1","Inspection routes are planned manually, leading to inefficient travel and missed risk-based prioritization.","Schedulers build routes by hand using spreadsheets and local knowledge.","Optimize inspection scheduling by risk and geography.","Optimization service that prioritizes by risk score and clusters visits geographically, with a planner UI.","AI;App;Data pipeline","Moderate","Azure OpenAI;Azure Functions;Power BI","Production candidate","More risk-aligned inspections and reduced travel time.","High","Est. 15% more high-risk inspections per week","Inspectors, public-health leadership, the public","Risk-scoring fairness; data quality of facility records.","Facility history, complaint data, gelocation.","Facility data governance; explainable prioritization.","High","High","Health;Inspections","PAT-RAG-LOB","P-PRIYA","CSA;STU","P-DANIEL","Confirm scheduling data feed and run a 3-week pilot with DOH ops.","P-PRIYA","","P-LENA","#","#","Explainability of the risk score was the key to inspector buy-in.","3","2","3","3","2","2","2","3","2","2","Published"
"Unemployment claims document extraction","UC-2026-ALB-008","EV-2026-01-ALB","AG-STA-DOL","T-ALB-2","Claims processors manually key data from uploaded documents, creating backlogs and errors.","Staff read each uploaded document and type fields into the claims system.","Auto-extract structured fields from claim documents to speed processing.","Document-intelligence pipeline that extracts and validates fields, routing low-confidence items to a reviewer.","AI;Data pipeline;App","Heavy","Azure AI Document Intelligence;Azure Functions;Power Automate","Production candidate","Cuts manual keying, reduces errors, and shortens claim cycle time.","High","Est. 40% less manual data entry on claims","Claims processors, claimants","Extraction accuracy on poor scans; sensitive PII.","Document samples; field schema.","PII-heavy; strict access controls and audit required.","High","High","Workforce / Labor;Benefits","PAT-DOCINTEL","P-MARCUS","CSA;ATU","P-NADIA","Productionize the pipeline; reuse the DOCINTEL accelerator.","P-MARCUS","P-MARCUS","P-PRIYA","#","#","Reusing the document-extraction accelerator saved an estimated half-day of build time.","3","3","3","3","2","2","3","3","2","2","Published"
"Multilingual benefits notices generator","UC-2026-ALB-002","EV-2026-01-ALB","AG-STA-DOH","T-ALB-1","Translating benefit notices into required languages is slow and inconsistent.","Notices drafted in English, then sent out for manual translation.","Generate consistent multilingual notices with human review.","Template-driven generator that produces multilingual notices from structured case data with reviewer approval.","AI;App","Moderate","Azure OpenAI;Azure AI Translator;Power Automate","Prototype","Faster, more consistent multilingual citizen communications.","Medium","Reduced translation turnaround","Benefit recipients, communications staff","Legal accuracy of translated notices; approval workflow.","Notice templates; case data fields.","Legally binding notices require certified review.","High","High","Health & Human Services;Communications","PAT-FORMAUTO","P-PRIYA","CSA",,"Confirm legal review workflow before any pilot.","P-PRIYA","P-DIEGO","","#","#","Legal review is the gating step, not the generation quality.","2","2","1","3","2","1","2","3","2","1","Published"
